title,rouge1,rouge2,rougeL
To make technical corrections to the Water Resources Development Act of 1999.,0.5078809106830123,0.2671353251318102,0.3012259194395797
Federal Forage Fee Act of 1993,0.14634146341463414,0.027247956403269758,0.10840108401084009
Merchant Marine of World War II Congressional Gold Medal Act,0.2445759368836292,0.09108910891089109,0.15779092702169623
To amend the Internal Revenue Code of 1986 to provide for unified income taxation with respect to pass-thru entities.,0.33195020746887965,0.12552301255230125,0.18257261410788383
Fair Access to Investment Research Act of 2016,0.3666274970622796,0.15783274440518258,0.20211515863689777
Prescription Drug Monitoring Act of 2016,0.25247524752475253,0.0746268656716418,0.1485148514851485
A bill to establish a Strategic Gasoline and Fuel Reserve.,0.32220039292730845,0.16962524654832348,0.1768172888015717
"To provide increased benefits for public safety officers disabled in the line of duty, and for the spouses and children of public safety officers killed or disabled in the line of duty, and for other purposes.",0.21987315010570824,0.033970276008492575,0.13953488372093023
Promoting Financial Literacy and Economic Opportunity Act of 2015,0.4786324786324786,0.21203438395415472,0.26210826210826216
To amend the Tariff Act of 1930 and the Internal Revenue Code of 1986 relating to importation of tobacco products.,0.36706689536878223,0.08261617900172118,0.19897084048027444
A bill to amend the Outer Continental Shelf Lands Act to allow certain coastal States to share in qualified outer Continental Shelf revenues.,0.4910179640718562,0.16265060240963855,0.20359281437125748
Developmental Disabilities Assistance and Bill of Rights Act Amendments of 1993,0.2222222222222222,0.07497243660418963,0.1254125412541254
"To amend the Higher Education Act of 1965 to require accrediting agencies and associations to comply with due process throughout the accreditation process, and for other purposes.",0.29787234042553196,0.16,0.1861702127659574
"To reauthorize and amend the Spark M. Matsunaga Hydrogen Research, Development, and Demonstration Act of 1990, and for other purposes.",0.46905537459283386,0.22875816993464052,0.2573289902280131
"A bill to require the Secretary of Health and Human Services to ensure that the public is provided adequate notice and education on the effects of exposure to mercury through the development of health advisories and by requiring that such appropriate advisories be posted, or made readily available, at all businesses that sell fresh, frozen, and canned fish and seafood where the potential for mercury exposure exists.",0.5543071161048689,0.29323308270676696,0.250936329588015
