title,rouge1,rouge2,rougeL
To make technical corrections to the Water Resources Development Act of 1999.,0.09467455621301775,0.05357142857142857,0.0710059171597633
Federal Forage Fee Act of 1993,0.2456140350877193,0.14545454545454545,0.17543859649122806
Merchant Marine of World War II Congressional Gold Medal Act,0.2909090909090909,0.20370370370370372,0.21818181818181817
To amend the Internal Revenue Code of 1986 to provide for unified income taxation with respect to pass-thru entities.,0.18749999999999997,0.0851063829787234,0.14583333333333331
Fair Access to Investment Research Act of 2016,0.07655502392344497,0.06763285024154589,0.07655502392344497
Prescription Drug Monitoring Act of 2016,0.26,0.12244897959183673,0.19999999999999996
A bill to establish a Strategic Gasoline and Fuel Reserve.,0.256,0.21138211382113822,0.256
"To provide increased benefits for public safety officers disabled in the line of duty, and for the spouses and children of public safety officers killed or disabled in the line of duty, and for other purposes.",0.3675675675675676,0.2622950819672131,0.30270270270270266
Promoting Financial Literacy and Economic Opportunity Act of 2015,0.08588957055214723,0.012422360248447204,0.06134969325153374
To amend the Tariff Act of 1930 and the Internal Revenue Code of 1986 relating to importation of tobacco products.,0.0462046204620462,0.03986710963455149,0.0462046204620462
A bill to amend the Outer Continental Shelf Lands Act to allow certain coastal States to share in qualified outer Continental Shelf revenues.,0.11282051282051281,0.08290155440414508,0.10256410256410256
Developmental Disabilities Assistance and Bill of Rights Act Amendments of 1993,0.17857142857142858,0.12048192771084337,0.16666666666666669
"To amend the Higher Education Act of 1965 to require accrediting agencies and associations to comply with due process throughout the accreditation process, and for other purposes.",0.35220125786163525,0.21656050955414013,0.2389937106918239
"To reauthorize and amend the Spark M. Matsunaga Hydrogen Research, Development, and Demonstration Act of 1990, and for other purposes.",0.30567685589519655,0.19383259911894274,0.23580786026200878
"A bill to require the Secretary of Health and Human Services to ensure that the public is provided adequate notice and education on the effects of exposure to mercury through the development of health advisories and by requiring that such appropriate advisories be posted, or made readily available, at all businesses that sell fresh, frozen, and canned fish and seafood where the potential for mercury exposure exists.",0.028037383177570093,0.009433962264150945,0.018691588785046728
"A bill to authorize the Secretary of Energy to enter into privatization arrangements for activities carried out in connection with defense nuclear facilities, and for other purposes.",0.03623188405797101,0.0,0.028985507246376812
Health Care Fraud Prevention and Paperwork Reduction Act of 2000,0.11764705882352941,0.0,0.08823529411764705
A bill to amend section 9401 of the Elementary and Secondary Education Act of 1965 with regard to waivers of statutory and regulatory requirements.,0.04363636363636364,0.007326007326007327,0.04363636363636364
"No Second Chances for Murderers, Rapists, or Child Molesters Act of 1998",0.11333333333333333,0.08053691275167786,0.08666666666666666
A bill to amend the Internal Revenue Code of 1986 to provide that the value of qualified historic property shall not be included in determining the taxable estate of a decedent.,0.025316455696202535,0.0,0.025316455696202535
CLINTON Act of 2016,0.0594059405940594,0.01,0.0495049504950495
REIN-IN Act,0.06332453825857519,0.03183023872679045,0.04221635883905013
"To deny certain benefits to candidates for election to the House of Representatives who accept contributions in excess of certain limitations, and for other purposes.",0.2631578947368421,0.10666666666666667,0.18421052631578952
"To amend title XVIII of the Social Security Act to provide whistleblower protection to employees of clinical laboratories who furnish services under the Medicare Program, and for other purposes.",0.056140350877192984,0.0353356890459364,0.04912280701754385
"To amend the Internal Revenue Code of 1986 to provide for the treatment of bonds issued to finance electric output facilities, and for other purposes.",0.3478260869565218,0.11940298507462685,0.2608695652173913
To require the President to seek to negotiate and enter into a bilateral status of forces agreement with the Government of the Islamic Republic of Afghanistan.,0.11235955056179776,0.03409090909090909,0.06741573033707865
"To require the Department of Veterans Affairs to provide mental health services in languages other than English, as needed, for veterans and family members with limited English proficiency, to expand the scope of mental health services provided to family members of veterans, and for other purposes.",0.23076923076923078,0.1111111111111111,0.16483516483516483
"A bill to amend title 10, United States Code, to establish the responsibility of the Department of Defense to plan for and respond to catastrophic incidents in the United States, and for other purposes.",0.11023622047244094,0.064,0.09448818897637794
"A bill to promote the oil independence of the United States, and for other purposes.",0.3601895734597157,0.2296650717703349,0.26540284360189575
"A bill to establish The Return of Talent Program to allow aliens who are legally present in the United States to return temporarily to the country of citizenship of the alien if that country is engaged in post-conflict reconstruction, and for other purposes.",0.12,0.0,0.1
"To amend title 38, United States Code, to expand and enhance educational assistance for survivors and dependents of veterans.",0.0449438202247191,0.0,0.0449438202247191
Strategic Withdrawal of Agencies for Meaningful Placement Act of 2018,0.08888888888888888,0.015037593984962405,0.05925925925925926
"A bill to establish in the Department of Commerce the Minority Business Development Program to provide qualified minority businesses with technical assistance and contracting opportunities, and for other purposes.",0.09655172413793103,0.013986013986013988,0.08275862068965517
"To enhance the ability of drinking water utilities in the United States to develop and implement climate change adaptation programs and policies, and for other purposes.",0.4198895027624309,0.34636871508379885,0.3977900552486188
A bill to amend the Internal Revenue Code of 1986 to limit the interest deduction allowed corporations and to allow a deduction for dividends paid by corporations.,0.1019108280254777,0.06451612903225806,0.05095541401273885
To direct the Secretary of Labor to make a grant to a public university to establish the Center for the Study of Women and Workplace Policy.,0.6753246753246752,0.5394736842105263,0.6233766233766234
"A bill to increase loan limits for small business concerns, provide for low interest refinancing for small business concerns, and for other purposes.",0.1497326203208556,0.11891891891891894,0.1283422459893048
National Commission on Fairness in the Workplace Act,0.16822429906542058,0.1523809523809524,0.14953271028037382
Propane Education and Research Act of 1993,0.09722222222222222,0.028169014084507043,0.06944444444444445
To amend the Internal Revenue Code of 1986 to allow a refundable credit for expenditures for renewable energy property.,0.05970149253731343,0.0,0.05970149253731343
"To make organizations which have been indicted for violations of Federal or State law relating to elections for public office ineligible to participate in the Planning Partnership Program for the 2010 census of population, and for other purposes.",0.03137254901960784,0.0,0.03137254901960784
Electronic Campaign Disclosure Act of 1998,0.07773851590106007,0.05693950177935942,0.0706713780918728
"To provide for prices of pharmaceutical products that are fair to the producer and the consumer, and for other purposes.",0.15730337078651685,0.06896551724137932,0.1348314606741573
"A bill to amend the Electronic Fund Transfer Act to provide protection for consumers who have prepaid cards, and for other purposes.",0.09767441860465116,0.05607476635514019,0.07906976744186046
"A bill to reauthorize the Appalachian Regional Development Act of 1965, and for other purposes.",0.04158790170132325,0.030360531309297913,0.034026465028355386
"To amend title 10, United States Code, to improve the administration of the volunteer civilian auxiliary of the Air Force known as the Civil Air Patrol.",0.17142857142857143,0.0,0.17142857142857143
"To strengthen the law enabling the United States to expeditiously remove terrorist criminals, to add flexibility with respect to the places to which aliens may be removed, to give sufficient authority to the Secretary of Homeland Security and the Attorney General to remove aliens who pose a danger to national security, and for other purposes.",0.11214953271028039,0.07619047619047617,0.11214953271028039
Teenage Pregnancy Reduction Act of 1996,0.1276595744680851,0.06521739130434784,0.06382978723404255
Children's Bicycle Helmet Safety Act of 1993,0.10426540284360189,0.06698564593301434,0.0947867298578199
A bill to extend and improve the effectiveness of the employment eligibility confirmation program.,0.11504424778761063,0.08928571428571429,0.11504424778761063
Stopping Abuse and Fraud in Electronic Lending Act of 2018,0.27586206896551724,0.16470588235294117,0.2528735632183908
To provide for the establishment of a commission to review and make recommendations to Congress on the reform and simplification of the Internal Revenue Code of 1986.,0.19999999999999998,0.14492753623188406,0.15714285714285717
"A bill to amend the Foreign Assistance Act of 1961 to modify for fiscal years 2002 through 2004 the procedures relating to assistance for countries not cooperating in United States counterdrug efforts, and for other purposes.",0.37442922374429227,0.33179723502304154,0.37442922374429227
"To authorize certain Department of Veterans Affairs major medical facility projects and leases, to extend certain expiring provisions of law, and to modify certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.030942334739803092,0.022566995768688293,0.030942334739803092
Sportsmen's Bill of Rights Act,0.05263157894736842,0.007575757575757576,0.03759398496240602
"To authorize certain Department of Veterans Affairs major medical facility projects, to amend title 38, United States Code, to extend certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.06896551724137931,0.011627906976744186,0.05747126436781609
